"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Algeria","DZA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","968.172678631732","","","","","847.45596731788","","","","","735.968033473789","","","","","639.826049212349","","","","","550.044194217525","","","","","473.200370618943","","","","","416.229995153973","","","","","378.240525268165","","","","","353.161560363834","","","","","329.265350175017","","","","","300.931789142205","","289.027090367878","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","9693.38249546227","","","","","8527.56023360521","","","","","7465.47762759806","","","","","6766.83653451977","","","","","6251.70735828297","","","","","5754.66572806379","","","","","5316.74076642337","","","","","4992.76585238736","","","","","4750.18147050533","","","","","4566.45965967602","","","","","4405.31546523198","","4341.7319623188","","","","","",
"Early-demographic dividend","EAR","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","12007.5998531976","","","","","10652.0076411556","","","","","9434.81780468994","","","","","8357.75335419342","","","","","7383.34085964029","","","","","6530.42252654937","","","","","5797.57775478682","","","","","5167.25295802259","","","","","4721.78300874672","","","","","4351.74421601392","","","","","4035.37136318406","","3923.38938593659","","","","","",
"East Asia & Pacific","EAS","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","9684.75276219666","","","","","8583.10270796246","","","","","7566.8767932095","","","","","6883.99735785842","","","","","6380.58799473515","","","","","5901.27131166438","","","","","5479.08013205229","","","","","5162.51545779942","","","","","4928.73232494877","","","","","4748.52420422903","","","","","4584.42160526147","","4522.05320471812","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13274.1489165838","","","","","13173.4100644953","","","","","13166.6059537781","","","","","12863.3427303648","","","","","12565.8495796882","","12411.2086828628","","","","","",
"Europe & Central Asia","ECS","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8544.76130056196","","","","","8326.95671535524","","","","","8971.40896583127","","","","","8767.82477340768","","","","","7930.85709033092","","7854.8924381194","","","","","",
"Ecuador","ECU","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","91990.3326976768","","","","","79568.1735938699","","","","","68809.1338214779","","","","","59915.5656414026","","","","","52607.8148052708","","","","","46459.0710706169","","","","","41283.5642422744","","","","","37016.4227744043","","","","","33659.3128219994","","","","","30944.5134237565","","","","","28589.7042684609","","27733.4812452333","","","","","",
"Egypt, Arab Rep.","EGY","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","64.0290128262918","","","","","56.1508411240026","","","","","49.857823491616","","","","","44.6322425948849","","","","","39.5263027342364","","","","","34.620910645353","","","","","30.6817411288092","","","","","27.7382806919838","","","","","25.1800925684552","","","","","23.0084505181414","","","","","20.8279720590441","","19.9060756151746","","","","","",
"Euro area","EMU","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","3614.71625541133","","","","","3464.44839155325","","","","","3360.18055610816","","","","","3278.1486108731","","","","","3218.70644512097","","","","","3188.34989546298","","","","","3225.79823192116","","","","","3165.09261860587","","","","","3112.71717432173","","","","","3032.99312948078","","","","","3001.28783626248","","2980.83039326919","","","","","",
"Eritrea","ERI","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1275.52240614547","","","","","1128.5508037297","","","","","934.412268032154","","","","","","","","","","","","",
"Spain","ESP","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","3584.39506531948","","","","","3402.38595987076","","","","","3213.4577762196","","","","","3045.60425363551","","","","","2927.3933783836","","","","","2874.51290642078","","","","","2839.8001567253","","","","","2776.01717875321","","","","","2683.94444640484","","","","","2458.71900341928","","","","","2377.43718044502","","2392.38145265832","","","","","",
"Estonia","EST","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8290.44068486476","","","","","9081.58781309506","","","","","9214.48508355385","","","","","9480.26374675538","","","","","9609.16189358704","","9668.74469873607","","","","","",
"Ethiopia","ETH","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009.96934912069","","","","","1739.32653362159","","","","","1512.25269276425","","","","","1315.69055566368","","1243.70180993172","","","","","",
"European Union","EUU","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","3527.54932926434","","","","","3385.65692896236","","","","","3284.38361076412","","","","","3204.26200676903","","","","","3146.09502011556","","","","","3109.44095011909","","","","","3181.1709690237","","","","","3097.09782308472","","","","","3069.31782364694","","","","","3010.74031439426","","","","","2979.1164627021","","2960.95767832345","","","","","",
"Fragile and conflict affected situations","FCS","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","30962.2017801772","","","","","27362.1200923475","","","","","24010.2670539438","","","","","20912.41670226","","","","","18307.8055455867","","","","","16351.6826390262","","","","","14188.5219508654","","","","","12241.3561141887","","","","","10860.6800756456","","","","","9601.85883555644","","","","","8473.33488912727","","8089.62534406568","","","","","",
